"시설번호",시설유형코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,상세위치,안전센터명,보호틀유무,사용가능여부,설치연도,배관깊이,출수압력,배관지름,관할기관명,관할기관전화번호,데이터기준일자
"강촌001호",1,강원도,춘천시,42110,,강원도 춘천시 남산면 창촌리 145-1,37.78618943,127.6492375,창촌리 남산세탁소 옆,강촌안전센터,N,Y,2007,0.7,7,100,춘천소방서,033-248-9313,2021-11-19
"강촌002호",1,강원도,춘천시,42110,,강원도 춘천시 남산면 창촌리 147-1,37.7867249,127.6479294,창촌리 어탕국수 입간판 밑,강촌안전센터,N,Y,2013,0.7,8,100,춘천소방서,033-248-9313,2021-11-19
"강촌003호",1,강원도,춘천시,42110,,강원도 춘천시 남산면 창촌리 126-9,37.7855228,127.6466862,창촌농공단지 입구 삼거리에서 공단방향 인도상,강촌안전센터,Y,Y,2013,0.7,8,100,춘천소방서,033-248-9313,2021-11-19
"강촌004호",1,강원도,춘천시,42110,,강원도 춘천시 남산면 창촌리 219-15,37.7847563,127.6434883,창촌리 농공단지 진입로 중간지점,강촌안전센터,Y,Y,2013,0.8,8,100,춘천소방서,033-248-9313,2021-11-19
"강촌005호",1,강원도,춘천시,42110,,강원도 춘천시 남산면 창촌리 238-2,37.7815501,127.6439918,창촌농공단지 인근 재현식품 앞,강촌안전센터,Y,Y,2013,0.7,5.5,100,춘천소방서,033-248-9313,2021-11-19
"강촌006호",1,강원도,춘천시,42110,,강원도 춘천시 남산면 창촌리 300-15,37.7838965,127.6419933,창촌농공단지내 한국편의시설산업 앞 인도,강촌안전센터,Y,Y,2013,0.2,5,100,춘천소방서,033-248-9313,2021-11-19
"강촌007호",1,강원도,춘천시,42110,,강원도 춘천시 남산면 창촌리 300-11,37.7847709,127.6394011,창촌농공단지내 푸른곡산 앞 인도상,강촌안전센터,N,Y,2009,1,4.5,100,춘천소방서,033-248-9313,2021-11-19
"강촌008호",1,강원도,춘천시,42110,,강원도 춘천시 남산면 창촌리 39-1,37.78910522,127.6503088,창촌 APT 정문 앞,강촌안전센터,Y,Y,2009,0.9,7,100,춘천소방서,033-248-9313,2021-11-19
"강촌009호",1,강원도,춘천시,42110,,강원도 춘천시 남산면 창촌리 74-12,37.789569,127.6468713,창촌1리 버스정류장 옆,강촌안전센터,Y,Y,2009,1,9,100,춘천소방서,033-248-9313,2021-11-19
"강촌010호",1,강원도,춘천시,42110,,강원도 춘천시 남산면 창촌리 75-45,37.7880725,127.646606,창촌리 한상차림 앞 도로변,강촌안전센터,Y,Y,2009,1,7.5,100,춘천소방서,033-248-9313,2021-11-19
"강촌011호",1,강원도,춘천시,42110,,강원도 춘천시 남산면 창촌리 610-9,37.790241,127.6455965,창촌리 강촌로 남산카센터에서 남산감리교회 건물 방향 인근 도로변,강촌안전센터,Y,Y,2009,0.8,7.5,100,춘천소방서,033-248-9313,2021-11-19
"강촌012호",1,강원도,춘천시,42110,,강원도 춘천시 남산면 창촌리 11-4,37.7920632,127.6492709,창촌리 송곡대학교 정문 앞,강촌안전센터,Y,Y,2013,1,5.5,100,춘천소방서,033-248-9313,2021-11-19
"강촌013호",1,강원도,춘천시,42110,,강원도 춘천시 남산면 창촌리 69-6,37.7914407,127.6460449,창촌리 남산치안센터 앞,강촌안전센터,Y,Y,2009,1,7.5,100,춘천소방서,033-248-9313,2021-11-19
"강촌014호",1,강원도,춘천시,42110,,강원도 춘천시 남산면 방곡리 629-49,37.7941762,127.6418761,방곡리 강촌게이트볼장 옆 도로상,강촌안전센터,Y,Y,2013,0.8,8.5,100,춘천소방서,033-248-9313,2021-11-19
"강촌015호",1,강원도,춘천시,42110,,강원도 춘천시 남산면 방곡리 135-7,37.792417,127.6441464,방곡리 석촌갤러리 옆 도로상,강촌안전센터,Y,Y,2013,0.8,7,100,춘천소방서,033-248-9313,2021-11-19
"강촌016호",1,강원도,춘천시,42110,,강원도 춘천시 남산면 방곡리 139-6,37.7941653,127.6442152,방곡리 남산우체국과 남산초교 사이 도로변,강촌안전센터,Y,Y,2013,1,7,100,춘천소방서,033-248-9313,2021-11-19
"강촌017호",1,강원도,춘천시,42110,,강원도 춘천시 남산면 방곡리 245-19,37.79517873,127.6419604,방곡1리마을회관 앞 10m 도로변,강촌안전센터,Y,Y,2013,0.9,7,100,춘천소방서,033-248-9313,2021-11-19
"강촌018호",1,강원도,춘천시,42110,,강원도 춘천시 남산면 방곡리 2-1,37.79878268,127.6505812,풀무골기도원 진입 110m 전,강촌안전센터,N,Y,2010,0.9,3,100,춘천소방서,033-248-9313,2021-11-19
"강촌019호",1,강원도,춘천시,42110,,강원도 춘천시 남산면 방곡리 203-4,37.7927574,127.6376273,방곡리 프로포즈펜션 입구 입간판 아래,강촌안전센터,N,Y,2010,0.7,7.5,100,춘천소방서,033-248-9313,2021-11-19
