"시설번호",시설유형코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,상세위치,안전센터명,보호틀유무,사용가능여부,설치연도,배관깊이,출수압력,배관지름,관할소방서명,관할소방서전화번호,데이터기준일자
"세교1호",1,경기도,오산시,41370,,경기도 오산시 양산동 294,37.194307,127.026089,양산동 294번지 빌라 앞,세교안전센터,N,Y,1999,1,6,100,오산소방서,031-8059-7413,2021-04-12
"세교2호",1,경기도,오산시,41370,경기도 오산시 한신대133번길 28,경기도 오산시 양산동 291,37.194536,127.025681,양산동 291번지 컨테이너 옆,세교안전센터,Y,Y,1999,1,5,100,오산소방서,031-8059-7413,2021-04-12
"세교3호",1,경기도,오산시,41370,경기도 오산시 한신대133번길 17-1,경기도 오산시양산동 304-2,37.195099,127.025195,지오빌라 옆,세교안전센터,N,Y,1999,1,4,100,오산소방서,031-8059-7413,2021-04-12
"세교4호",1,경기도,오산시,41370,,경기도 오산시 양산동 315-3,37.195917,127.027055,양산상회 앞,세교안전센터,Y,Y,1999,1,5,100,오산소방서,031-8059-7413,2021-04-12
"세교5호",1,경기도,오산시,41370,,경기도 오산시 양산동 317-9,37.195731,127.027485,양산상회 옆,세교안전센터,Y,Y,1995,1,5,100,오산소방서,031-8059-7413,2021-04-12
"세교6호",1,경기도,오산시,41370,,경기도 오산시 양산동 656-7,37.195062,127.022925,우리슈퍼 맞은편,세교안전센터,Y,Y,1995,1,5,100,오산소방서,031-8059-7413,2021-04-12
"세교7호",1,경기도,오산시,41370,,경기도 오산시 양산동 82-3,37.190406,127.032931,늘푸른오스카빌 아파트 입구 우측,세교안전센터,Y,Y,1998,1,5,100,오산소방서,031-8059-7413,2021-04-12
"세교8호",1,경기도,오산시,41370,,경기도 오산시 금암동 219,37.171947,127.053323,휴먼시아 13단지 1307동 앞 사거리 코너,세교안전센터,Y,Y,2001,1,3.8,100,오산소방서,031-8059-7413,2021-04-12
"세교9호",1,경기도,오산시,41370,,경기도 오산시 금암동 483-1,37.178903,127.046274,휴먼시아 803동앞,세교안전센터,Y,Y,2012,1,3.8,100,오산소방서,031-8059-7413,2021-04-12
"세교10호",1,경기도,오산시,41370,,경기도 오산시 금암동 485-2,37.179581,127.050359,주공10단지입구 1001동앞,세교안전센터,Y,Y,1998,1,3.8,100,오산소방서,031-8059-7413,2021-04-12
"세교11호",1,경기도,오산시,41370,경기도 오산시 수청로 124,경기도 오산시 금암동 486,37.178987,127.052689,필봉초등학교 정문 앞,세교안전센터,Y,Y,2012,1,3.8,100,오산소방서,031-8059-7413,2021-04-12
"세교12호",1,경기도,오산시,41370,,경기도 오산시 금암동 487-2,37.177257,127.052565,세교고등학교 정문 옆,세교안전센터,Y,Y,2011,1,3.8,100,오산소방서,031-8059-7413,2021-04-12
"세교13호",1,경기도,오산시,41370,,경기도 오산시 금암동 489,37.177682,127.054986,주공12단지 맞은편 어린이공원7호 앞,세교안전센터,Y,Y,2011,1,3.8,100,오산소방서,031-8059-7413,2021-04-12
"세교14호",1,경기도,오산시,41370,,경기도 오산시 금암동 491-5,37.177422,127.0555941,물향기 유치원 앞맞은편,세교안전센터,Y,Y,2012,1,3.8,100,오산소방서,031-8059-7413,2021-04-12
"세교15호",1,경기도,오산시,41370,경기도 오산시 수청로106번길 14,경기도 오산시 금암동 492-2,37.171625,127.059557,마포갈비 옆 도로변,세교안전센터,Y,Y,2011,1,3.8,100,오산소방서,031-8059-7413,2021-04-12
"세교16호",1,경기도,오산시,41370,경기도 오산시 문헌공로 45,경기도 오산시 금암동 495-2,37.177351,127.056365,세교지구 임마뉴엘교회앞,세교안전센터,Y,Y,2012,1,3.8,100,오산소방서,031-8059-7413,2021-04-12
"세교17호",1,경기도,오산시,41370,경기도 오산시 수목원로468번길 5,경기도 오산시 금암동 496,37.177464,127.048096,주공 9단지 상가,세교안전센터,Y,Y,2000,1,3.8,100,오산소방서,031-8059-7413,2021-04-12
"세교18호",1,경기도,오산시,41370,,경기도 오산시 금암동 497,37.175656,127.051542,주공12단지1206동 앞,세교안전센터,Y,Y,2012,1,3.8,100,오산소방서,031-8059-7413,2021-04-12
"세교19호",1,경기도,오산시,41370,경기도 오산시 문헌공로 3,경기도 오산시 금암동 502-5,37.176886,127.052901,세교@12단지 옆 상가단지,세교안전센터,Y,Y,2000,1,3.8,100,오산소방서,031-8059-7413,2021-04-12
"세교20호",1,경기도,오산시,41370,경기도 오산시 문헌공로 9,경기도 오산시 금암동 503-3,37.175629,127.051968,주공1204동 앞 인피니트 상가뒤,세교안전센터,Y,Y,2011,1,3.8,100,오산소방서,031-8059-7413,2021-04-12
"세교21호",1,경기도,오산시,41370,,경기도 오산시 금암동 504,37.178828,127.047491,주공8단지810동 입구,세교안전센터,Y,Y,2012,1,4.5,100,오산소방서,031-8059-7413,2021-04-12
"세교22호",1,경기도,오산시,41370,,경기도 오산시 금암동 506-1,37.176167,127.051252,주공12단지1207동 앞,세교안전센터,Y,Y,2012,1,4.1,100,오산소방서,031-8059-7413,2021-04-12
"세교23호",1,경기도,오산시,41370,,경기도 오산시 금암동 507,37.175839,127.053442,주공1202동 뒤 도로변,세교안전센터,Y,Y,2012,1,5,100,오산소방서,031-8059-7413,2021-04-12
"세교24호",1,경기도,오산시,41370,경기도 오산시 수청로 204-20,경기도 오산시 금암동 510,37.178413,127.043324,금암동 금암초교 정문앞,세교안전센터,Y,Y,2012,1,4.2,100,오산소방서,031-8059-7413,2021-04-12
"세교25호",1,경기도,오산시,41370,,경기도 오산시 금암동 512-1,37.177211,127.043857,금암동 주공 304동 상가 맞은편,세교안전센터,Y,Y,2012,1,2,100,오산소방서,031-8059-7413,2021-04-12
"세교26호",1,경기도,오산시,41370,,경기도 오산시 금암동 545,37.178829,127.048278,롯데슈퍼 건너편 주공8단지 앞,세교안전센터,Y,Y,2011,1,4.7,100,오산소방서,031-8059-7413,2021-04-12
"세교27호",1,경기도,오산시,41370,,경기도 오산시 금암동 513-2,37.176267,127.042664,금암동 주공 412동 앞,세교안전센터,Y,Y,2012,1,4.5,100,오산소방서,031-8059-7413,2021-04-12
"세교28호",1,경기도,오산시,41370,,경기도 오산시 금암동 516-1,37.176459,127.044345,금암동 파리바게트 앞,세교안전센터,Y,Y,2012,1,4.6,100,오산소방서,031-8059-7413,2021-04-12
"세교29호",1,경기도,오산시,41370,경기도 오산시 수청로 193,경기도 오산시 금암동 516-4,37.176874,127.045723,금암동 세교프라자 앞,세교안전센터,Y,Y,2012,1,4.2,100,오산소방서,031-8059-7413,2021-04-12
"세교30호",1,경기도,오산시,41370,,경기도 오산시 금암동 517-3,37.175375,127.044639,금암동5단지 상가 앞,세교안전센터,Y,Y,2012,1,4,100,오산소방서,031-8059-7413,2021-04-12
"세교31호",1,경기도,오산시,41370,,경기도 오산시 금암동 547,37.174393,127.044932,금암동 문시초교 진입로 사거리,세교안전센터,Y,Y,2012,1,4,100,오산소방서,031-8059-7413,2021-04-12
"세교32호",1,경기도,오산시,41370,,경기도 오산시 금암동 547,37.172459,127.045528,금암동 706동 진입로(후문),세교안전센터,Y,Y,2016,1,5,100,오산소방서,031-8059-7413,2021-04-12
"세교33호",1,경기도,오산시,41370,,경기도 오산시 금암동 522-3,37.170693,127.045516,주공7단지 입구 앞,세교안전센터,Y,Y,2011,1,3.8,100,오산소방서,031-8059-7413,2021-04-12
"세교34호",1,경기도,오산시,41370,,경기도 오산시 금암동 548-1,37.172559,127.050292,창의나라 어린이집 고인돌공원 입구,세교안전센터,Y,Y,2000,1,3.8,100,오산소방서,031-8059-7413,2021-04-12
"세교35호",1,경기도,오산시,41370,,경기도 오산시 금암동 526-7,37.171242,127.051589,세교할인마트 건너편,세교안전센터,Y,Y,2000,1,3.8,100,오산소방서,031-8059-7413,2021-04-12
"세교36호",1,경기도,오산시,41370,경기도 오산시 금암로 78,경기도 오산시 금암동 528-1,37.172067,127.049624,주공7단지 주공아파트 704동 옆,세교안전센터,Y,Y,2000,1,3.8,100,오산소방서,031-8059-7413,2021-04-12
"세교37호",1,경기도,오산시,41370,경기도 오산시 금암로16번길 36,경기도 오산시 금암동 531-8,37.171051,127.047415,금암동 703동 맞은편 인도,세교안전센터,Y,Y,2000,1,3.8,100,오산소방서,031-8059-7413,2021-04-12
"세교38호",1,경기도,오산시,41370,,경기도 오산시 금암동 548-10,37.170921,127.048741,금암동 703동 왼쪽 150M 지점,세교안전센터,Y,Y,2000,1,3.8,100,오산소방서,031-8059-7413,2021-04-12
"세교39호",1,경기도,오산시,41370,경기도 오산시 금암로 67,경기도 오산시 금암동 523-9,37.171536,127.0482822,금암동 704동 도로 따라 100M지점,세교안전센터,Y,Y,2000,1,3.5,100,오산소방서,031-8059-7413,2021-04-12
"세교40호",1,경기도,오산시,41370,,경기도 오산시 금암동 197-4,37.169855,127.048839,오산대역로 지곶동 방향 우측 702동 앞,세교안전센터,Y,Y,2000,1,7,100,오산소방서,031-8059-7413,2021-04-12
"세교41호",1,경기도,오산시,41370,,경기도 오산시 금암동 548-10,37.171253,127.049922,고인돌공원 창의나라 유치원 앞,세교안전센터,Y,Y,2011,1,4,100,오산소방서,031-8059-7413,2021-04-12
"세교42호",1,경기도,오산시,41370,경기도 오산시 금암로 15-11,경기도 오산시 금암동 537-8,37.170409,127.050803,주공7단지 702동 옆 50M부근,세교안전센터,Y,Y,2011,1,4,100,오산소방서,031-8059-7413,2021-04-12
