"시설번호",시설유형코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,상세위치,안전센터명,보호틀유무,사용가능여부,설치연도,배관깊이,출수압력,배관지름,관할기관명,관할기관전화번호,데이터기준일자
"자인 지상 제007호",1,경상북도,경산시,47290,경상북도 경산시 자인면 설총로 895,경상북도 경산시 자인면 동부리 150-4,35.816196,128.826019,시외버스터미널 맞은편 평강이용소 앞,자인119안전센터,Y,Y,2001,0.5,2,63.5,경산소방서,053-819-6257,2021-11-30
"중앙 지상 제107호",1,경상북도,경산시,47290,경상북도 경산시 백양로 101,경상북도 경산시 사동 607-11,35.814091,128.753084,오리일번지 앞,중앙119안전센터,Y,Y,2018,0.5,2,65,경산소방서,053-819-6257,2021-11-30
"중앙 지상 제061호",1,경상북도,경산시,47290,경상북도 경산시 솔숲길 100,경상북도 경산시 평산동 695,35.808484,128.761654,사동휴먼시아2단지 201동 앞,중앙119안전센터,N,Y,2000,0.5,2,65,경산소방서,053-819-6257,2021-11-30
"중앙 지상 제068호",1,경상북도,경산시,47290,경상북도 경산시 솔숲길3길 3-1,경상북도 경산시 사동 204,35.807462,128.753209,도로 건너,중앙119안전센터,N,Y,2009,0.5,2,65,경산소방서,053-819-6257,2021-11-30
"중앙 지상 제072호",1,경상북도,경산시,47290,경상북도 경산시 백자로10길 55,경상북도 경산시 사동 180,35.808156,128.759003,사동휴먼시아1단지 110동 앞,중앙119안전센터,N,Y,2009,0.5,2,65,경산소방서,053-819-6257,2021-11-30
"중앙 지상 제076호",1,경상북도,경산시,47290,경상북도 경산시 백양로32길 11,경상북도 경산시 사동 162,35.810217,128.758301,우리떡집,중앙119안전센터,N,Y,2008,0.5,2,65,경산소방서,053-819-6257,2021-11-30
"중앙 지상 제085호",1,경상북도,경산시,47290,경상북도 경산시 백자로10길 3-11,경상북도 경산시 사동 39,35.811436,128.754781,밝은약국 앞,중앙119안전센터,N,Y,2008,0.5,2,65,경산소방서,053-819-6257,2021-11-30
"중앙 지상 제086호",1,경상북도,경산시,47290,경상북도 경산시 백자로10길 1,경상북도 경산시 사동 43,35.81072987,128.754028,쌍둥이안경,중앙119안전센터,N,Y,2008,0.5,2,65,경산소방서,053-819-6257,2021-11-30
"중앙 지상 제095호",1,경상북도,경산시,47290,경상북도 경산시 삼성현로91길 45,경상북도 경산시 사동 21,35.812245,128.753292,파크드림 105동 앞 도로 건너 백자로 솔숲구릉공원 앞,중앙119안전센터,N,N,2010,0.5,2,65,경산소방서,053-819-6257,2021-11-30
"중앙 지상 제136호",1,경상북도,경산시,47290,경상북도 경산시 경청로221길 5,경상북도 경산시 백천동 574-1,35.80418978,128.738386,월드메르디앙 정문 맞은편,중앙119안전센터,N,Y,2017,0.5,2,65,경산소방서,053-819-6257,2021-11-30
"중앙 지상 제053호",1,경상북도,경산시,47290,경상북도 경산시 원효로 110,경상북도 경산시 계양동 660,35.822492,128.749597,조은카서비스 앞,중앙119안전센터,Y,Y,2009,0.5,2,65,경산소방서,053-819-6257,2021-11-30
"중앙 지상 제075호",1,경상북도,경산시,47290,경상북도 경산시 점촌길 19-7,경상북도 경산시 점촌동 208,35.801169,128.771417,점촌네거리 버스정류장 옆,중앙119안전센터,Y,Y,2015,0.5,2,65,경산소방서,053-819-6257,2021-11-30
"중앙 지상 제073호",1,경상북도,경산시,47290,경상북도 경산시 백자로10길 55,경상북도 경산시 사동 180,35.808156,128.759003,사동휴먼시아1단지 109동 앞,중앙119안전센터,N,Y,2009,0.5,2,65,경산소방서,053-819-6257,2021-11-30
"중앙 지상 제074호",1,경상북도,경산시,47290,경상북도 경산시 백자로10길 55,경상북도 경산시 사동 180,35.808156,128.759003,사동휴먼시아1단지 108동 앞,중앙119안전센터,N,Y,2009,0.5,2,65,경산소방서,053-819-6257,2021-11-30
"중앙 지상 제077호",1,경상북도,경산시,47290,경상북도 경산시 백양로34길 2,경상북도 경산시 사동 150,35.810902,128.758881,김세미헤어 우측,중앙119안전센터,N,Y,2008,0.5,2,65,경산소방서,053-819-6257,2021-11-30
"중앙 지상 제081호",1,경상북도,경산시,47290,경상북도 경산시 백자로10길 11,경상북도 경산시 사동 148,35.80930032,128.756807,사동부영6차 606동 앞,중앙119안전센터,N,Y,2008,0.5,2,65,경산소방서,053-819-6257,2021-11-30
"중앙 지상 제083호",1,경상북도,경산시,47290,경상북도 경산시 백자로10길 11,경상북도 경산시 사동 148,35.80930032,128.756807,사동부영6차 605동 앞,중앙119안전센터,N,Y,2021,0.5,2,65,경산소방서,053-819-6257,2021-11-30
"중앙 지상 제084호",1,경상북도,경산시,47290,경상북도 경산시 백자로 76,경상북도 경산시 사동 36,35.812288,128.755561,W-TOWER 건물앞,중앙119안전센터,N,Y,2008,0.5,2,65,경산소방서,053-819-6257,2021-11-30
"중앙 지상 제087호",1,경상북도,경산시,47290,경상북도 경산시 백자로10길 11,경상북도 경산시 사동 148,35.80930032,128.756807,사동부영6차 601동 앞,중앙119안전센터,N,Y,2008,0.5,2,65,경산소방서,053-819-6257,2021-11-30
"중앙 지상 제088호",1,경상북도,경산시,47290,경상북도 경산시 백자로10길 11,경상북도 경산시 사동 148,35.80930032,128.756807,사동부영6차 610동 앞,중앙119안전센터,N,Y,2008,0.5,2,65,경산소방서,053-819-6257,2021-11-30
"중앙 지상 제089호",1,경상북도,경산시,47290,경상북도 경산시 백자로10길 11,경상북도 경산시 사동 148,35.80930032,128.756807,사동부영6차 621동 앞,중앙119안전센터,N,Y,2008,0.5,2,65,경산소방서,053-819-6257,2021-11-30
"중앙 지상 제090호",1,경상북도,경산시,47290,경상북도 경산시 백자로10길 57,경상북도 경산시 사동 180,35.807992,128.759786,사동휴먼시아1단지 102동 앞,중앙119안전센터,N,Y,2009,0.5,2,65,경산소방서,053-819-6257,2021-11-30
"중앙 지상 제096호",1,경상북도,경산시,47290,경상북도 경산시 삼성현로91길 45,경상북도 경산시 사동 21,35.812245,128.753292,파크드림 102동 앞 도로 건너 솔숲구릉공원 족구장 앞,중앙119안전센터,N,N,2010,0.5,2,65,경산소방서,053-819-6257,2021-11-30
"중앙 지상 제100호",1,경상북도,경산시,47290,경상북도 경산시 삼성현로91길 36,경상북도 경산시 사동 296,35.809036,128.751408,삼성현로91길 36 사동고등학교 정문 우측 30m,중앙119안전센터,N,N,2010,0.5,2,65,경산소방서,053-819-6257,2021-11-30
"중앙 지상 제101호",1,경상북도,경산시,47290,경상북도 경산시 삼성현로91길 36,경상북도 경산시 사동 296,35.809036,128.751408,삼성현로91길 36 사동고등학교 정문 우측 130m,중앙119안전센터,N,Y,2010,0.5,2,65,경산소방서,053-819-6257,2021-11-30
"중앙 지상 제102호",1,경상북도,경산시,47290,경상북도 경산시 삼성현로91길 36,경상북도 경산시 사동 296,35.809036,128.751408,삼성현로91길 36 사동고등학교 정문 우측 250m,중앙119안전센터,N,Y,2010,0.5,2,65,경산소방서,053-819-6257,2021-11-30
