"시설번호",시설유형코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,상세위치,안전센터명,보호틀유무,사용가능여부,설치연도,배관깊이,출수압력,배관지름,관할기관명,관할기관전화번호,데이터기준일자
"광산-76",1,광주광역시,광산구,36300,광주광역시 광산구 하남산단9번로 85,광주광역시 광산구 안청동 732-1,35.21481192,126.8050829,두영실업 좌측 50m,하남,Y,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-77",1,광주광역시,광산구,36300,광주광역시 광산구 하남산단10번로 25,광주광역시 광산구 안청동 727-4,35.21547023,126.7997613,나산산업 맞은편,하남,N,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-215",1,광주광역시,광산구,36300,광주광역시 광산구 손재로 512-17,광주광역시 광산구 안청동 735-10,35.21174617,126.7979426,동신실업 앞,하남,N,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-224",1,광주광역시,광산구,36300,광주광역시 광산구 손재로 524,광주광역시 광산구 안청동 735-2,35.21242703,126.7958898,현대오일뱅크주유소 앞,하남,Y,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-225",1,광주광역시,광산구,36300,광주광역시 광산구 용아로 736,광주광역시 광산구 안청동 738-4,35.21010518,126.8058301,나우텍 맞은편,하남,Y,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-226",1,광주광역시,광산구,36300,광주광역시 광산구 하남산단10번로 60,광주광역시 광산구 안청동 733-2,35.214914,126.8034698,한주스틸 앞,하남,N,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-227",1,광주광역시,광산구,36300,광주광역시 광산구 하남산단8번로 33,광주광역시 광산구 안청동 735-12,35.21099364,126.8009436,기아자동차 코너,하남,Y,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-228",1,광주광역시,광산구,36300,광주광역시 광산구 하남산단9번로 21,광주광역시 광산구 안청동 734-1,35.21427364,126.7977798,무진기연 앞,하남,N,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-230",1,광주광역시,광산구,36300,광주광역시 광산구 하남산단8번로 137-7,광주광역시 광산구 안청동 739-12,35.20957674,126.8102201,서암기계공업 정문 건너편,하남,N,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-233",1,광주광역시,광산구,36300,광주광역시 광산구 하남산단9번로 129,광주광역시 광산구 안청동 731-5,35.21366857,126.8103149,평강목재수출포장 모퉁이,하남,Y,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-234",1,광주광역시,광산구,36300,광주광역시 광산구 하남산단8번로 33,광주광역시 광산구 안청동 735-12,35.21099364,126.8009436,기아자동차 정문,하남,N,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-293",1,광주광역시,광산구,36300,광주광역시 광산구 하남산단9번로 126,광주광역시 광산구 안청동 738-3,35.21219886,126.8088428,한국번디 건너편,하남,Y,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-294",1,광주광역시,광산구,36300,광주광역시 광산구 하남산단10번로 115-5,광주광역시 광산구 안청동 729-11,35.21554875,126.8093174,에프엔테크 모퉁이,하남,Y,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-298",1,광주광역시,광산구,36300,광주광역시 광산구 손재로 516,광주광역시 광산구 안청동 735-11,35.21130634,126.7962923,영화산업 모퉁이,하남,Y,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-299",1,광주광역시,광산구,36300,광주광역시 광산구 손재로 524,광주광역시 광산구 안청동 735-2,35.21242703,126.7958898,현대오일뱅크주유소 맞은편,하남,Y,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-300",1,광주광역시,광산구,36300,광주광역시 광산구 손재로 512-49,광주광역시 광산구 안청동 735-7,35.21179419,126.8007053,일정 입구 우측,하남,N,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-655",1,광주광역시,광산구,36300,광주광역시 광산구 하남산단8번로 127-18,광주광역시 광산구 안청동 739-10,35.21053041,126.8104166,서암기계공업 정문 우측끝,하남,Y,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-656",1,광주광역시,광산구,36300,광주광역시 광산구 하남산단8번로 127-42,광주광역시 광산구 안청동 739-2,35.21290385,126.8104795,한국번디 정문 맞은편,하남,N,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-657",1,광주광역시,광산구,36300,광주광역시 광산구 하남산단8번로 111,광주광역시 광산구 안청동 738-7,35.20991646,126.807764,임곡철강 맞은편,하남,N,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-658",1,광주광역시,광산구,36300,광주광역시 광산구 하남산단10번로 99,광주광역시 광산구 안청동 729-8,35.21554829,126.8076566,석정정밀 맞은편,하남,Y,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-659",1,광주광역시,광산구,36300,광주광역시 광산구 하남산단9번로 110,광주광역시 광산구 안청동 738-2,35.21207182,126.8072294,빛고을중공업 우측,하남,Y,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-740",1,광주광역시,광산구,36300,광주광역시 광산구 본안길 13-10,광주광역시 광산구 안청동 284-1,35.2173393,126.8032444,감나무집 입구,하남,Y,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-786",1,광주광역시,광산구,36300,광주광역시 광산구 용아로 736,광주광역시 광산구 안청동 738-4,35.21010518,126.8058301,두산테크 앞,하남,N,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-815",1,광주광역시,광산구,36300,광주광역시 광산구 하남산단8번로 33,광주광역시 광산구 안청동 735-12,35.21099364,126.8009436,기아자동차 출하장 측면,하남,Y,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-951",1,광주광역시,광산구,36300,광주광역시 광산구 임곡로 616,광주광역시 광산구 안청동 727-7,35.21672436,126.7985062,영일식품 우측,하남,Y,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-952",1,광주광역시,광산구,36300,광주광역시 광산구 하남산단10번로 115-30,광주광역시 광산구 안청동 730-2,35.21692783,126.8095557,명성화학 앞,하남,N,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-10",4,광주광역시,광산구,36300,광주광역시 광산구 하남산단9번로 37,광주광역시 광산구 안청동 734-8,35.21364855,126.7996782,다물플라스틱 정문,하남,N,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-188",1,광주광역시,광산구,36300,광주광역시 광산구 손재로 374,광주광역시 광산구 오선동 273-16,35.19894168,126.795697,현태정밀 정문,하남,Y,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
"광산-189",1,광주광역시,광산구,36300,광주광역시 광산구 손재로 392,광주광역시 광산구 오선동 273-22,35.20099312,126.7956184,장호 정문 우측 20m,하남,Y,Y,1989,8.1,5.5,100,광산소방서,062-613-8866,2022-02-28
