"시설번호",시설유형코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,상세위치,안전센터명,보호틀유무,사용가능여부,설치연도,배관깊이,출수압력,배관지름,관할기관명,관할기관전화번호,데이터기준일자
"하1-1-5",2,대구광역시,남구,27110,대구광역시 남구 명덕로 14길 144,대구광역시 남구 대명동 2309-16,35.852265,128.576327,안동슈퍼남편 20m,남산안전센터,N,Y,1988,1.5,4.5,150,중부소방서,053-601-4556,2021-10-27
"하1-1-6",2,대구광역시,남구,27110,대구광역시 남구 명덕로 14길 128,대구광역시 남구 대명동 2300-3,35.853089,128.576366,병아리 어린이집앞,남산안전센터,N,Y,1991,2,4,300,중부소방서,053-601-4556,2021-10-27
"하1-1-7",2,대구광역시,남구,27110,대구광역시 남구 성당로 242,대구광역시 남구 대명동 2297-1,35.85425225,128.574193,연화헤어샵 앞,남산안전센터,N,Y,1988,1.7,4.5,200,중부소방서,053-601-4556,2021-10-27
"상1-1-8",1,대구광역시,남구,27110,대구광역시 남구 성당로 250,대구광역시 남구 대명동 2296-29,35.85509343,128.5743305,대구대정문 서편 50M,남산안전센터,Y,Y,1988,1,4.5,150,중부소방서,053-601-4556,2021-10-27
"상1-1-9",1,대구광역시,남구,27110,대구광역시 남구 성당로 50길 26-1,대구광역시 남구 대명동 2295-17,35.85499858,128.5755781,대구대정문 맞은편,남산안전센터,N,Y,1988,1,4.5,100,중부소방서,053-601-4556,2021-10-27
"하1-1-10",2,대구광역시,남구,27110,대구광역시 남구 성당로 266,대구광역시 남구 대명동 2289-2,35.85644671,128.5745002,한국 농어촌 공사 앞,남산안전센터,N,Y,1991,1.5,4.1,150,중부소방서,053-601-4556,2021-10-27
"하1-1-11",2,대구광역시,남구,27110,대구광역시 남구 성당로 282,대구광역시 남구 대명동 2280-9,35.858024,128.5745783,분도주유소북편 (공중전화부스앞),남산안전센터,N,Y,1988,2,4,100,중부소방서,053-601-4556,2021-10-27
"하1-1-12",2,대구광역시,남구,27110,대구광역시 남구 성당로 230,대구광역시 남구 대명동 2297-38,35.85359032,128.5741096,부엉이 공인중개사 앞,남산안전센터,N,Y,1991,1.5,4.5,100,중부소방서,053-601-4556,2021-10-27
"하1-1-13",2,대구광역시,남구,27110,대구광역시 남구 명덕로 32,대구광역시 남구 대명동 2274-8,35.85968171,128.5747362,다빈치 커피숖 앞,남산안전센터,N,Y,1988,1.7,4.5,100,중부소방서,053-601-4556,2021-10-27
"하1-1-14",2,대구광역시,남구,27110,대구광역시 남구 명덕로 46,대구광역시 남구 대명동 2275-1,35.85919373,128.5758705,성모의지 재활연구소 앞,남산안전센터,N,Y,1991,2,4,100,중부소방서,053-601-4556,2021-10-27
"하1-1-15",2,대구광역시,남구,27110,대구광역시 남구 명덕로 14길 16,대구광역시 남구 대명동 2277-1,35.85802009,128.576886,대명시장 공영주차장 동편앞,남산안전센터,N,Y,1971,1.5,4.2,100,중부소방서,053-601-4556,2021-10-27
"하1-1-16",2,대구광역시,남구,27110,대구광역시 남구 명덕로 14길 21,대구광역시 남구 대명동 2563-78,35.85770263,128.577195,대명시장지장사앞,남산안전센터,N,Y,1971,2,4.5,100,중부소방서,053-601-4556,2021-10-27
