"시설번호",시설유형코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,상세위치,안전센터명,보호틀유무,사용가능여부,설치연도,배관깊이,출수압력,배관지름,관할기관명,관할기관전화번호,데이터기준일자
"동부-1",4,대전광역시,동구,30110,대전광역시 동구 중앙로 215,대전광역시 동구 정동 1-1,36.33439758,127.4321118,대전역네거리 앞 도로가운데,가양안전센터,N,N,2006,1.2,5,100,동부소방서,042-270-1221,2021-10-27
"동부-10",1,대전광역시,동구,30110,대전광역시 동구 우암로 289,대전광역시 동구 가양동 391-34,36.34653962,127.4475926,제일종합건재상사 옆,가양안전센터,Y,Y,2018,1.2,5,200,동부소방서,042-270-1221,2021-10-27
"동부-10",2,대전광역시,동구,30110,대전광역시 동구 계족로 254,대전광역시 동구 소제동 299-328,36.33580528,127.439449,장원약국 앞,가양안전센터,N,Y,1986,1.2,5,120,동부소방서,042-270-1221,2021-10-27
"동부-108",2,대전광역시,동구,30110,대전광역시 동구 계족로 144,대전광역시 동구 대동 118-9,36.32695206,127.4446669,동구 계족로 145,가양안전센터,N,Y,1987,1.2,5,100,동부소방서,042-270-1221,2021-10-27
"동부-11",1,대전광역시,동구,30110,대전광역시 동구 우암로 311,대전광역시 동구 가양동 87-11,36.34746569,127.449723,코리아 애견 전방 3m,가양안전센터,Y,Y,2006,1.2,5,200,동부소방서,042-270-1221,2021-10-27
"동부-11",2,대전광역시,동구,30110,대전광역시 동구 철갑길 36,대전광역시 동구 소제동 299-115,36.334539,127.4368318,36영동자원 앞,가양안전센터,N,Y,1996,1.2,5,150,동부소방서,042-270-1221,2021-10-27
"동부-110",2,대전광역시,동구,30110,대전광역시 동구 이화로 44,대전광역시 동구 대동 59-5,36.33125644,127.4477308,이화로 44,가양안전센터,N,Y,1983,1.2,5,150,동부소방서,042-270-1221,2021-10-27
"동부-111",2,대전광역시,동구,30110,대전광역시 동구 동대전로 98,대전광역시 동구 대동 64-14,36.331035,127.4442421,동대전로 98,가양안전센터,N,Y,2007,1.2,5,100,동부소방서,042-270-1221,2021-10-27
"동부-12",1,대전광역시,동구,30110,대전광역시 동구 흥룡로 40,대전광역시 동구 가양동 55-3,36.34892157,127.4481041,한산아파트 앞,가양안전센터,N,Y,1996,1.2,5,100,동부소방서,042-270-1221,2021-10-27
"동부-12",2,대전광역시,동구,30110,대전광역시 동구 삼성시장1길 16,대전광역시 동구 삼성동 459,36.33654578,127.4314938,정동 굴다리 방향 남해수산 앞,가양안전센터,Y,Y,2000,1.2,5,100,동부소방서,042-270-1221,2021-10-27
"동부-12",4,대전광역시,동구,30110,대전광역시 동구 동서대로 1743,대전광역시 동구 가양동 453-6,36.3517921,127.4420254,타이어뱅크  전방 3m,가양안전센터,N,Y,1984,1.2,5,100,동부소방서,042-270-1221,2021-10-27
"동부-124",2,대전광역시,동구,30110,대전광역시 동구 솜2길 19,대전광역시 동구 신안동 282-46,36.32837021,127.437644,동구 솜2길 19,가양안전센터,N,Y,1988,1.2,5,100,동부소방서,042-270-1221,2021-10-27
"동부-13",1,대전광역시,동구,30110,대전광역시 동구 흥룡로 52,대전광역시 동구 가양동 53-1,36.34963227,127.4495356,국보주택 앞,가양안전센터,Y,Y,2000,1.2,5,100,동부소방서,042-270-1221,2021-10-27
