"시설번호",시설유형코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,상세위치,안전센터명,보호틀유무,사용가능여부,설치연도,배관깊이,출수압력,배관지름,관할기관명,관할기관전화번호,데이터기준일자
2-1-1-001,1,울산광역시,중부,31110,울산광역시 중구 학성로 11,울산광역시 중구 우정동 172-5,35.553151,129.3127438465,마제스타워2차  뒤쪽,유곡119안전센터,N,Y,2006,1,3.4,150,중부소방서,052-241-2400,2022-06-07
2-1-1-002,1,울산광역시,중부,31110,울산광역시 중구 장춘로 17,울산광역시 중구 우정동 281-54,35.5559179664,129.3113559326,버스정류장 옆,유곡119안전센터,Y,Y,2016,1,4.5,150,중부소방서,052-241-2400,2022-06-07
2-1-1-003,1,울산광역시,중부,31110,울산광역시 중구 당산5길 40,울산광역시 중구 우정동 225-5,35.5545577741,129.3122645787,우정동 사무소 앞,유곡119안전센터,Y,Y,2006,1,3.2,150,중부소방서,052-241-2400,2022-06-07
2-1-1-004,1,울산광역시,중부,31110,울산광역시 중구 시원길 36,울산광역시 중구 우정동 270-10,35.5573823535,129.3130005053,왕비미용실 옆,유곡119안전센터,N,Y,2006,1,3.2,150,중부소방서,052-241-2400,2022-06-07
2-1-1-005,1,울산광역시,중부,31110,울산광역시 중구 명륜로74,울산광역시 중구 우정동 272-5,35.5578659797,129.311832,"두산빌딩 건너편,우정초등학교앞 교차로",유곡119안전센터,N,Y,2011,1,3,100,중부소방서,052-241-2400,2022-06-07
2-1-1-006,1,울산광역시,중부,31110,울산광역시 중구 동헌길5,울산광역시 중구 우정동278-23,35.556034,129.3127962806,우정제1공영주차장 건너편,유곡119안전센터,N,Y,2006,1,3,150,중부소방서,052-241-2400,2022-06-07
2-1-1-007,1,울산광역시,중부,31110,울산광역시 중구 강정6길 4,울산광역시 중구 우정동762-6,35.5559225905,129.3152645195,우정제2공영주차장,유곡119안전센터,Y,Y,2011,1,3,150,중부소방서,052-241-2400,2022-06-07
2-1-1-008,1,울산광역시,중부,31110,울산광역시 중구 당산길23-3,울산광역시 중구 우정동275-3,35.5551533926,129.3142446114,우정파크빌 앞,유곡119안전센터,N,Y,2010,1,3,100,중부소방서,052-241-2400,2022-06-07
2-1-1-009,1,울산광역시,중부,31110,울산광역시 중구 장춘로 42,울산광역시 중구 우정동274-50,35.5549556831,129.3137621457,울산제일교회 건너편,유곡119안전센터,N,Y,2010,1,3,100,중부소방서,052-241-2400,2022-06-07
2-1-1-010,1,울산광역시,중부,31110,울산광역시 중구 우암2길 10,울산광역시 중구 우정동 279-49 남성헤어컷,35.557108,129.3114509062,남성헤어컷,유곡119안전센터,N,Y,2006,1,3,100,중부소방서,052-241-2400,2022-06-07
