"시설번호",시설유형코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,상세위치,안전센터명,보호틀유무,사용가능여부,설치연도,배관깊이,출수압력,배관지름,관할기관명,관할기관전화번호,데이터기준일자
"공항센터-001",1,인천광역시,중구,28110,인천광역시 중구 공항로 424번길 50,인천광역시 중구 공항로 424번길 50,37.4391267304,126.4601169766,공항로 424번길 50,공항안전센터,Y,Y,2005,2,3,100,영종소방서,032-727-6152,2021-09-30
"공항센터-002",1,인천광역시,중구,28110,인천광역시 중구 공항로 424번길 72,인천광역시 중구 공항로 424번길 72,37.4388300415,126.4628883057,공항로 424번길 72,공항안전센터,Y,Y,2010,2,3,100,영종소방서,032-727-6152,2021-09-30
"공항급수탑-001",3,인천광역시,중구,28110,인천광역시 중구 용유로 44,인천광역시 중구 용유로 44,37.4321580009,126.4352437688,용유로 44,공항안전센터,N,Y,2005,2,3.5,100,영종소방서,032-727-6152,2021-09-30
"공항저수조-001",4,인천광역시,옹진군,28720,인천광역시 중구 북도면 신도로 485,인천광역시 중구 북도면 신도로 485,37.532971,126.457734,북도면 신도로 485,공항안전센터,N,Y,1997,2,3.5,100,영종소방서,032-727-6152,2021-09-30
"공항센터-003",1,인천광역시,옹진군,28720,인천광역시 중구 장봉로 562,인천광역시 중구 장봉로 562,37.534291,126.337024,장봉로 562,공항안전센터,Y,Y,2013,2,3,100,영종소방서,032-727-6152,2021-09-30
"운남센터-001",1,인천광역시,중구,28110,,인천광역시 중구 운남동 1129-17,37.496947,126.558329,중구 운남동 1129-17(도로명주소 없음),운남안전센터,Y,Y,2002,2,3,100,영종소방서,032-727-6152,2021-09-30
"운남센터-002",1,인천광역시,중구,28110,인천광역시 중구 운남동 107-5(운중로 77-1),인천광역시 중구 운남동 107-5(운중로 77-1),37.4933538974,126.5418971605,중구 운남동 107-5(운중로 77-1),운남안전센터,Y,Y,2010,2,3,100,영종소방서,032-727-6152,2021-09-30
"운남센터-003",1,인천광역시,중구,28110,인천광역시 중구 운남동 22-1(운중로 103),인천광역시 중구 운남동 22-1(운중로 103),37.4943812380,126.544776,중구 운남동 22-1(운중로  103),운남안전센터,Y,Y,2010,2,3,100,영종소방서,032-727-6152,2021-09-30
"운남센터-005",1,인천광역시,중구,28110,,인천광역시 중구 운남동 1575,37.4918297878,126.5297475770,중구 운남동 1575(도로명주소 없음),운남안전센터,Y,Y,2012,2,3,100,영종소방서,032-727-6152,2021-09-30
"운남센터-007",1,인천광역시,중구,28110,인천광역시 중구 운남동 1571(운남로 116),인천광역시 중구 운남동 1571(운남로 116),37.4880459070,126.5333055662,중구 운남동 1571(운남로 116),운남안전센터,Y,Y,2009,2,3,100,영종소방서,032-727-6152,2021-09-30
