"시설번호",시설유형코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,상세위치,안전센터명,보호틀유무,사용가능여부,설치연도,배관깊이,출수압력,배관지름,관할기관명,관할기관전화번호,데이터기준일자
1,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 읍내5길 40,,35.28058409,127.2880804,"읍내7구 읍내5길 40앞(효광철물점 뒷편) ,테니스코트장 뒷편 우유대리점 부근(7구)",곡성119안전센터,N,Y,2007,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
2,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 중앙로 59,,35.27991587,127.2892383,군민회관 뒤 조립식건물 앞,곡성119안전센터,Y,Y,2007,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
3,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 학림길 13,,35.28540387,127.2928988,정부양곡창고 앞 천변,곡성119안전센터,Y,Y,2020,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
4,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 학교로 71,,35.28257899,127.2871456,곡성중학교 후문 앞(교촌리입구 부근),곡성119안전센터,N,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
5,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 읍내3길 15-3,,35.28092216,127.2905407,곡성중 정문우측 주차장 앞,곡성119안전센터,N,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
6,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 읍내3길 15-1,,35.2810723,127.290886,곡성중 정문우측 주차장에서 좌측골목 60m(소방차진입불가),곡성119안전센터,N,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
7,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 읍내3길 3,,35.27978302,127.2909672,읍내리 동부손해보험 옆 골목길,곡성119안전센터,N,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
8,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 읍내4길 15,,35.27875201,127.2926359,곡성교육청 인근 동화나라 어린이집 옆,곡성119안전센터,Y,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
9,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 곡성로 817,,35.27836113,127.2934053,함박가든과 축협사이 골목길,곡성119안전센터,Y,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
10,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 군청로 10,,35.27924991,127.2935639,교육지원청 입구 사거리,곡성119안전센터,Y,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
11,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 군청로 19-1,,35.27993052,127.2929266,곡성군청 앞 사거리 로터리 곡성농협 앞,곡성119안전센터,N,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
12,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 군청로 50,,35.28215631,127.2926554,곡성군청 정문 옆,곡성119안전센터,Y,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
13,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 읍내11길 33,,35.28256793,127.2916929,군청 뒤 장안아파트 정문쪽 옆,곡성119안전센터,N,Y,2005,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
14,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 학교로 99,,35.28324026,127.2908624,중앙초등학교 앞 GS25 건너편 화단 내,곡성119안전센터,Y,Y,2006,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
15,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 읍내 10길 15,,35.2795292,127.2950972,곡성닭집 앞,곡성119안전센터,N,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
16,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 읍내37길 11-8,,35.28450272,127.2983183,곡성읍 읍내2리 마을회관 앞,곡성119안전센터,Y,Y,2020,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
17,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 읍내11길 12,,35.28163416,127.2935879,교동식당 건너편(큰손식당 앞),곡성119안전센터,N,Y,2000,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
18,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 학교로 119,,35.28511237,127.2923427,곡성고등학교 입구 삼거리 앞,곡성119안전센터,Y,Y,2000,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
19,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 읍내 13길 14,,35.28239474,127.2945384,원불교 옆 (소방도로),곡성119안전센터,N,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
20,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 읍내13길 8,,35.28182025,127.2949356,원불교 작은 골목 사거리,곡성119안전센터,N,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
21,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 중앙로 124-1,,35.28156208,127.2961271,1번지 마트 옆,곡성119안전센터,N,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
22,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 읍내14길 16,,35.28014489,127.2965023,구 중앙초등학교 후문 옆 사회복지회관 옆,곡성119안전센터,Y,Y,2006,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
23,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 중앙로 131,,35.28238416,127.2962516,곡성읍사무소 뒤편 주차장,곡성119안전센터,N,Y,2006,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
24,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 중앙로 142,,35.28244752,127.2977574,곡성농협자재센터 옆,곡성119안전센터,N,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
25,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 곡성로 877,,35.28089132,127.2993089,대명종합건재 앞,곡성119안전센터,N,Y,2005,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
26,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 곡성로 890-1,,35.28096555,127.3007767,평화석재 앞,곡성119안전센터,N,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
27,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 학교로 136,,35.2843022,127.2945573,곡성고등학교 부근 영운교 앞,곡성119안전센터,Y,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
28,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 읍내23길 17,,35.28352848,127.2961864,영운수퍼 맞은편 정자옆 인도,곡성119안전센터,N,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
29,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 중앙로 151,,35.28329758,127.2983042,현대다방 앞,곡성119안전센터,N,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
30,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 곡성로 903,,35.28194227,127.3011649,드림하이센터 뒤편 화단,곡성119안전센터,Y,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
31,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 곡고로 2,,35.28398294,127.3003483,낙동원 사거리 고달방향 전광투데이 옆,곡성119안전센터,N,Y,2000,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
32,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 읍내37길 9,,35.28445735,127.2989151,곡성경찰서 뒤 골목길 2구 마을회관 부근,곡성119안전센터,Y,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
33,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 읍내33길 8,,35.28387089,127.2979872,현대다방에서 예산어린이집 방향(진입불가),곡성119안전센터,Y,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
34,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 읍내37길 31,,35.28436562,127.2972249,현대다방에서 예산어린이집 방향(진입불가),곡성119안전센터,Y,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
35,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 학교로 159,,35.28543813,127.2968157,농어촌공사 맞은편 도로변,곡성119안전센터,N,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
36,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 학교로 151-6,,35.28542445,127.2963646,고향숫불갈비 뒤 골목길 도로,곡성119안전센터,Y,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
37,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 읍내33길 22,,35.28453741,127.2967493,예산어린이집 앞(영운수퍼 옆 골목),곡성119안전센터,Y,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
38,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 영운2길 12,,35.28563926,127.2946241,산천이용원 뒤 골목 길(차량진입불가),곡성119안전센터,N,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
39,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 영운2길 20,,35.28608195,127.2941237,산천이용원 뒤 골목 길(차량진입불가),곡성119안전센터,N,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
40,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 학정2길 17,,35.28703561,127.2898868,학정리 2구 경로당 앞,곡성119안전센터,Y,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
41,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 학정2길 60,,35.28786721,127.2907361,학정리 2구 게이트볼장 골목,곡성119안전센터,Y,Y,2015,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
42,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 월평길 22,,35.26711103,127.2781562,신월1구 월평노인정 옆,곡성119안전센터,N,Y,2002,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
43,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 신월길 37,,35.26820503,127.2834969,"곡성읍?신월길 37, 담 옆",곡성119안전센터,Y,Y,2019,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
44,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 죽동길 34,,35.27937244,127.2852201,죽동길 34 맞은편 도로변,곡성119안전센터,Y,Y,2016,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
45,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 죽동길 58,,35.2797957,127.2829618,죽동길 62-1 앞 죽동4반 김수완씨 댁 앞,곡성119안전센터,Y,Y,2016,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
46,1,전라남도,곡성군,48600,전라남도 곡성군 곡성읍 죽동길 82,,35.28080718,127.2834626,죽동길 82 죽동리 정혜자댁 앞,곡성119안전센터,Y,Y,1983,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
47,1,전라남도,곡성군,48600,전라남도 곡성군 목사동면 공북길 1,,35.1264315,127.2624219,목사동면 공북리 1구 공북마을 회관 옆,곡성119안전센터,Y,Y,1997,0.8,3.5,100,담양소방서,061-380-0825,2022-06-13
