"시설번호",시설유형코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,상세위치,안전센터명,보호틀유무,사용가능여부,설치연도,배관깊이,출수압력,배관지름,관할기관명,관할기관전화번호,데이터기준일자
"덕진-금암-급수-004",3,전라북도,덕진구,45113,전라북도 전주시 덕진구 기린대로 368,전라북도 전주시 덕진구 금암동 470-19,35.83627269,127.1344915,지케이전북센터 앞,금암119안전센터,N,Y,2020,0.5,4,100,전주덕진소방서,063-250-4272,2022-06-03
"덕진-금암-급수-006",3,전라북도,덕진구,45113,,전라북도 전주시 덕진구 금암동 1547-8,35.84293448,127.1386371,하나정형외과 앞,금암119안전센터,N,Y,1970,0.5,3.8,65,전주덕진소방서,063-250-4272,2022-06-03
"덕진-금암-지상-001",1,전라북도,덕진구,45113,,전라북도 전주시 덕진구 우아동3가 734-3,35.84660145,127.1539438,대자인병원앞 인도,금암119안전센터,Y,Y,2001,0.5,3,65,전주덕진소방서,063-250-4272,2022-06-03
"덕진-금암-지상-002",1,전라북도,덕진구,45113,전라북도 전주시 덕진구 백제대로 741,전라북도 전주시 덕진구 인후동2가 1559-87,35.84639839,127.1488663,한국전력공사앞,금암119안전센터,N,Y,2000,0.5,3.2,65,전주덕진소방서,063-250-4272,2022-06-03
"덕진-금암-지상-003",1,전라북도,덕진구,45113,전라북도 전주시 덕진구 견훤로 377,전라북도 전주시 덕진구 인후동2가 1578-16,35.84477205,127.153121,건지조명 앞,금암119안전센터,N,Y,2020,0.5,3.1,65,전주덕진소방서,063-250-4272,2022-06-03
"덕진-금암-지상-004",1,전라북도,덕진구,45113,전라북도 전주시 덕진구 모래내5길 10-27,전라북도 전주시 덕진구 인후동2가 236-6,35.833901,127.145042,모래내시장내,금암119안전센터,N,Y,2000,0.5,3,65,전주덕진소방서,063-250-4272,2022-06-03
"덕진-금암-지상-005",1,전라북도,덕진구,45113,전라북도 전주시 덕진구 모래내5길 16,전라북도 전주시 덕진구 인후동2가 236-54,35.83399863,127.1443666,모래내시장내,금암119안전센터,N,Y,2000,0.5,3,65,전주덕진소방서,063-250-4272,2022-06-03
"덕진-금암-지상-006",1,전라북도,덕진구,45113,전라북도 전주시 덕진구 모래내4길 4-9,전라북도 전주시 덕진구 인후동2가 202-47,35.83324365,127.1438336,모래내시장내,금암119안전센터,N,Y,2000,0.5,3,65,전주덕진소방서,063-250-4272,2022-06-03
"덕진-금암-지상-007",1,전라북도,덕진구,45113,전라북도 전주시 덕진구 모래내7길 17,전라북도 전주시 덕진구 인후동2가 204-2,35.834104,127.144037,모래내시장내,금암119안전센터,N,Y,2000,1,3,65,전주덕진소방서,063-250-4272,2022-06-03
"덕진-금암-지상-008",1,전라북도,덕진구,45113,전라북도 전주시 덕진구 건산로58,전라북도 전주시 덕진구 진북동 337-4,35.832571,127.1435409,원조모래네순대국밥 앞,금암119안전센터,N,Y,2010,0.5,3.8,65,전주덕진소방서,063-250-4272,2022-06-03
"덕진-금암-지상-009",1,전라북도,덕진구,45113,전라북도 전주시 덕진구 안덕원로 45,전라북도 전주시 덕진구 진북동 1023-1,35.82805038,127.1351684,진북동 전라교육사 앞,금암119안전센터,N,Y,2000,0.5,3,65,전주덕진소방서,063-250-4272,2022-06-03
"덕진-금암-지상-010",1,전라북도,덕진구,45113,전라북도 전주시 덕진구 어은골길 33,전라북도 전주시 덕진구 진북동 947-4,35.8212278,127.1300633,분리수거함 앞,금암119안전센터,Y,Y,2010,0.5,3.8,65,전주덕진소방서,063-250-4272,2022-06-03
"덕진-금암-지상-011",1,전라북도,덕진구,45113,전라북도 전주시 덕진구 안덕원로3,전라북도 전주시 덕진구 진북동1062-6,35.82736003,127.130527,(타이어프로 앞),금암119안전센터,Y,N,2000,0.5,3.2,65,전주덕진소방서,063-250-4272,2022-06-03
"덕진-금암-지상-012",1,전라북도,덕진구,45113,,전라북도 전주시 덕진구 진북동 390,35.832184,127.1375986,공사장 앞(전 승승장구 앞),금암119안전센터,Y,Y,2000,0.5,3.3,65,전주덕진소방서,063-250-4272,2022-06-03
"덕진-금암-지상-013",1,전라북도,덕진구,45113,전라북도 전주시 덕진구 건산로 31,전라북도 전주시 덕진구 금암동 199-33,35.83391628,127.1413849,건산로 31,금암119안전센터,N,Y,2000,0.5,3,65,전주덕진소방서,063-250-4272,2022-06-03
"덕진-금암-지상-014",1,전라북도,덕진구,45113,전라북도 전주시 덕진구 조경단로 22,전라북도 전주시 덕진구 금암동 523-120,35.836346,127.1371956,머리끄댕이 앞,금암119안전센터,Y,Y,1970,0.5,4,65,전주덕진소방서,063-250-4272,2022-06-03
