"시설번호",시설유형코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,상세위치,안전센터명,보호틀유무,사용가능여부,설치연도,배관깊이,출수압력,배관지름,관할기관명,관할기관전화번호,데이터기준일자
"가시 1호",1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 중산간동로 5227,제주특별자치도 서귀포시 표선면 가시리 2009-1,33.35242333,126.7719218,표선농협가시지소 앞,표선119센터,Y,Y,1995,0.5,1.8,80,동부소방서,064-787-0119,2022-05-13
"가시 2호",1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 가시로565번길 3,제주특별자치도 서귀포시 표선면 가시리 1981-1,33.35375295,126.7734458,가시리 입구 삼거리,표선119센터,Y,Y,1995,0.7,2.6,100,동부소방서,064-787-0119,2022-05-13
"가시 3호",1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 가시로 660,제주특별자치도 서귀포시 표선면 가시리 1686-3,33.36172717,126.7700613,가시로 660 인근,표선119센터,Y,Y,2020,0.7,5,100,동부소방서,064-787-0119,2022-05-13
"가시 4호",1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 원님로652번길 36-2,제주특별자치도 서귀포시 표선면 가시리 2818-1,33.35160191,126.7631352,가시리 두리동 신성작목반 옆 삼거리,표선119센터,Y,Y,1998,0.7,2.1,80,동부소방서,064-787-0119,2022-05-13
"가시 5호",1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 녹산로 14,제주특별자치도 서귀포시 표선면 가시리 2517-1,33.3620105,126.7658064,가시리 양과자회관 앞 도로,표선119센터,Y,Y,2021,0.7,1.7,80,동부소방서,064-787-0119,2022-05-13
"가시 6호",1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 원님로 651,제주특별자치도 서귀포시 표선면 가시리 2787-5,33.35442186,126.7614081,가시리 두리동~안좌동 사거리,표선119센터,Y,Y,2006,0.7,5.2,80,동부소방서,064-787-0119,2022-05-13
"가시 7호",1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 녹산로5번길 120,제주특별자치도 서귀포시 표선면 가시리 2981-5,33.35857969,126.7556593,가시리 안좌동 마을 입구,표선119센터,Y,Y,2007,0.7,3.5,80,동부소방서,064-787-0119,2022-05-13
"가시 8호",1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 표선면 가시로 539,제주특별자치도 서귀포시 표선면 가시리 2094-1,33.35195546,126.774878,가시리 체육공원 맞은편,표선119센터,Y,Y,2007,0.7,6.5,250,동부소방서,064-787-0119,2022-05-13
"가시 9호",1,제주특별자치도,서귀포시,50130,,제주특별자치도 서귀포시 표선면 가시리 988-1,33.34699689,126.783617,가시리 역지동 버스정류소 맞은편,표선119센터,Y,Y,2009,0.7,3,250,동부소방서,064-787-0119,2022-05-13
"가파-1",1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 대정읍 가파로67번길 1,제주특별자치도 서귀포시 대정읍 가파리 561-1,33.16586838,126.2733123,가파도 해물짬뽕 앞,대정119센터,N,Y,2002,0.7,1.3,60,서부소방서,064-795-0435,2022-05-13
"가파-10",1,제주특별자치도,서귀포시,50130,,제주특별자치도 서귀포시 대정읍 가파리 15-2,33.16821076,126.2778608,배전반 앞,대정119센터,Y,Y,2020,0.7,3,50,서부소방서,064-795-0435,2022-05-13
"가파-2",1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 대정읍 가파로67번길 92,제주특별자치도 서귀포시 대정읍 가파리 240,33.1731909,126.2696426,가파리 상동 조경순씨댁 앞,대정119센터,N,Y,2007,0.7,3.5,60,서부소방서,064-795-0435,2022-05-13
"가파-3",1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 대정읍 가파로67번길 10,제주특별자치도 서귀포시 대정읍 가파리 69-2,33.16656808,126.2730422,가파리 하동 가파지역대 사무실 앞,대정119센터,N,Y,2008,0.7,1.5,60,서부소방서,064-795-0435,2022-05-13
"가파-4",1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 대정읍 가파로67번길 50,제주특별자치도 서귀포시 대정읍 가파리 282,33.1697181,126.2709013,KT 가파도분기국사 옆 창고 앞,대정119센터,N,Y,2010,0.7,1.5,75,서부소방서,064-795-0435,2022-05-13
"가파-5",1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 대정읍 가파로271번길 9,제주특별자치도 서귀포시 대정읍 가파리 370,33.172809,126.268742,상동포구 남서측 500m 지점,대정119센터,N,Y,2010,0.7,1.5,50,서부소방서,064-795-0435,2022-05-13
"가파-6",1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 대정읍 가파로271번길 10-14,제주특별자치도 서귀포시 대정읍 가파리 384,33.17251601,126.2672757,해안도로변,대정119센터,Y,Y,2020,0.7,1.5,50,서부소방서,064-795-0435,2022-05-13
"가파-7",1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 대정읍 가파로 241,제주특별자치도 서귀포시 대정읍 가파리 205,33.1745769,126.2714638,가파도 교회 표지석 앞,대정119센터,Y,Y,2020,0.7,2.5,50,서부소방서,064-795-0435,2022-05-13
"가파-8",1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 대정읍 가파로91번길 23,제주특별자치도 서귀포시 대정읍 가파리 46-2,33.16938626,126.2735013,내연발전소 입구,대정119센터,Y,Y,2020,0.7,2.9,50,서부소방서,064-795-0435,2022-05-13
"가파-9",1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 대정읍 가파로 48,제주특별자치도 서귀포시 대정읍 가파리 570-2,33.1649819,126.2718769,하동할망당 표지석 앞,대정119센터,Y,Y,2020,0.7,3,50,서부소방서,064-795-0435,2022-05-13
"감산 1호",1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 안덕면 일주서로 1482,제주특별자치도 서귀포시 안덕면 감산리 126-8,33.26028036,126.3568714,감산주유소 삼거리 북측도로,안덕119센터,Y,Y,2001,1.5,5,100,서부소방서,064-795-0182,2022-05-13
"감산 2호",1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 안덕면 일주서로 1526,제주특별자치도 서귀포시 안덕면 감산리 360-1,33.25833117,126.3527723,안덕계곡 삼거리 GS25 앞,안덕119센터,Y,Y,1993,1,5,100,서부소방서,064-795-0182,2022-05-13
"감산 3호",1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 안덕면 일주서로 1611,제주특별자치도 서귀포시 안덕면 감산리 1736,33.25484697,126.3465837,건강과 성박물관 앞,안덕119센터,Y,Y,2011,1,5,100,서부소방서,064-795-0182,2022-05-13
"감산-1",1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 안덕면 일주서로 1482,제주특별자치도 서귀포시 안덕면 감산리 126-8,33.26028036,126.3568714,감산주유소 삼거리 북측도로,안덕119센터,N,Y,2001,1,5,100,서부소방서,064-795-0455,2022-05-13
"감산-2",1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 안덕면 일주서로 1526,제주특별자치도 서귀포시 안덕면 감산리 360-1,33.25833117,126.3527723,GS25 앞,안덕119센터,N,Y,1993,1,5,100,서부소방서,064-795-0455,2022-05-13
"감산-3",1,제주특별자치도,서귀포시,50130,제주특별자치도 서귀포시 안덕면 일주서로 1611,제주특별자치도 서귀포시 안덕면 감산리 1736,33.25484697,126.3465837,건강과성박물관 앞,안덕119센터,N,Y,2011,1,5,100,서부소방서,064-795-0455,2022-05-13
"강구-1",6,제주특별자치도,제주시,50110,제주특별자치도 제주시 한림읍 강구로 92,제주특별자치도 제주시 한림읍 한림리 191-7,33.40863994,126.2774811,강구리 노인회관 옆 골목,한림119센터,N,Y,2012,0.7,2.3,100,서부소방서,064-795-0415,2022-05-13
