"시설번호",시설유형코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,상세위치,안전센터명,보호틀유무,사용가능여부,설치연도,배관깊이,출수압력,배관지름,관할소방서명,관할소방서전화번호,데이터기준일자
"태안-안면-지상-1",1,충청남도,태안군,44825,충청남도 태안군 안면읍 응지마을길 27-1,충청남도 태안군 안면읍 응지마을길 27-1,36.5182454,126.3443504,대진빌라 입구,안면119안전센터,N,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-2",1,충청남도,태안군,44825,충청남도 태안군 안면읍 방포로 13,충청남도 태안군 안면읍 방포로 13,36.5158226,126.3444389,장문경로당 맞은 편,안면119안전센터,N,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-3",1,충청남도,태안군,44825,충청남도 태안군 안면읍 안면대로 3036,충청남도 태안군 안면읍 안면대로 3036,36.5070304,126.3496482,안면도 하나 플러스마트 앞,안면119안전센터,N,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-4",1,충청남도,태안군,44825,충청남도 태안군 안면읍 방포항길 64,충청남도 태안군 안면읍 방포항길 64,36.50444935,126.3354584,방포회타운 뒤편,안면119안전센터,Y,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-5",1,충청남도,태안군,44825,충청남도 태안군 안면읍 방포로 5-13,충청남도 태안군 안면읍 방포로 5-13,36.5150363,126.3442692,대웅빌라 앞,안면119안전센터,N,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-6",1,충청남도,태안군,44825,충청남도 태안군 안면읍 장터로 114-11,충청남도 태안군 안면읍 장터로 114-11,36.51811258,126.3462519,대흥장 앞,안면119안전센터,N,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-7",1,충청남도,태안군,44825,충청남도 태안군 안면읍 장터로 230,충청남도 태안군 안면읍 장터로 230,36.52811422,126.3473864,안면초등학교 앞,안면119안전센터,Y,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-8",1,충청남도,태안군,44825,충청남도 태안군 안면읍 조운막터길 73,충청남도 태안군 안면읍 조운막터길 73,36.50942822,126.3560093,안면고등학교 후문 앞,안면119안전센터,Y,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-9",1,충청남도,태안군,44825,충청남도 태안군 안면읍 꽃지2길 25,충청남도 태안군 안면읍 꽃지2길 25,36.49184536,126.3382625,대나무펜션 앞,안면119안전센터,N,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-10",1,충청남도,태안군,44825,충청남도 태안군 안면읍 백사장1길 102-17,충청남도 태안군 안면읍 백사장1길 102-17,36.58563782,126.3163569,수협ATM 옆,안면119안전센터,N,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-11",1,충청남도,태안군,44825,충청남도 태안군 안면읍 응지마을길 27-1,충청남도 태안군 안면읍 응지마을길 27-1,36.5182454,126.3443504,대진빌라 앞 도로,안면119안전센터,N,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-12",1,충청남도,태안군,44825,충청남도 태안군 안면읍 응지마을길 10,충청남도 태안군 안면읍 응지마을길 10,36.51692677,126.3449896,한독의원 우측,안면119안전센터,N,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-13",1,충청남도,태안군,44825,충청남도 태안군 안면읍 방포로 54-30,충청남도 태안군 안면읍 방포로 54-30,36.5140582,126.3391898,먹뱅이 펜션 단지 내,안면119안전센터,N,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-14",1,충청남도,태안군,44825,충청남도 태안군 안면읍 장터로 123,충청남도 태안군 안면읍 장터로 123,36.51812539,126.3453002905,버스터미널 앞,안면119안전센터,Y,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-15",1,충청남도,태안군,44825,충청남도 태안군 안면읍 장터로 172,충청남도 태안군 안면읍 장터로 172,36.522406,126.345462,황소왕갈비 앞,안면119안전센터,N,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-16",1,충청남도,태안군,44825,충청남도 태안군 안면읍 장터로 100,충청남도 태안군 안면읍 장터로 100,36.51622273,126.3460826,안면시장 남문출입구 앞,안면119안전센터,N,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-17",1,충청남도,태안군,44825,충청남도 태안군 안면읍 승언로 69-1,충청남도 태안군 안면읍 승언로 69-1,36.5161734,126.3460826,안면정수장 입구,안면119안전센터,N,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-18",1,충청남도,태안군,44825,충청남도 태안군 안면읍 장터로 181,충청남도 태안군 안면읍 장터로 181,36.5231285,126.3448638,안면카센터 입구 앞,안면119안전센터,Y,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-19",1,충청남도,태안군,44825,충청남도 태안군 안면읍 장터로 99-8,충청남도 태안군 안면읍 장터로 99-8,36.5156305,126.3455326,안면수협 앞,안면119안전센터,N,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-20",1,충청남도,태안군,44825,충청남도 태안군 안면읍 장터로 157,충청남도 태안군 안면읍 장터로 157,36.52116504,126.3448278,우체국 옆,안면119안전센터,Y,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-21",1,충청남도,태안군,44825,충청남도 태안군 안면읍 장터로 145,충청남도 태안군 안면읍 장터로 145,36.5199685784,126.3448956,안면파출소 앞,안면119안전센터,N,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-22",1,충청남도,태안군,44825,충청남도 태안군 안면읍 응지마을길 27-5,충청남도 태안군 안면읍 응지마을길 27-5,36.51815777,126.3439778,동화하이츠빌라 뒤,안면119안전센터,N,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-23",1,충청남도,태안군,44825,충청남도 태안군 안면읍 꽃지해안로 506-4,충청남도 태안군 안면읍 꽃지해안로 506-4,36.5053567,126.3462692,송우펜션 입구,안면119안전센터,N,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-24",1,충청남도,태안군,44825,충청남도 태안군 안면읍 구억말길 1-6,충청남도 태안군 안면읍 구억말길 1-6,36.51651843,126.3467492,건너편 안면수산시장 주차장 앞,안면119안전센터,N,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-25",1,충청남도,태안군,44825,충청남도 태안군 안면읍 장터로 112,충청남도 태안군 안면읍 장터로 112,36.517115,126.3457731,뒤 안면시장내 안면약국 뒤,안면119안전센터,Y,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-26",1,충청남도,태안군,44825,충청남도 태안군 안면읍 황도로 72,충청남도 태안군 안면읍 황도로 72,36.57969753,126.3380274,앞 창기초등학교 앞,안면119안전센터,N,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-27",1,충청남도,태안군,44825,충청남도 태안군 안면읍 백사장2길 21,충청남도 태안군 안면읍 백사장2길 21,36.58509317,126.3175207,앞 길목중화요리 옆,안면119안전센터,N,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-28",1,충청남도,태안군,44825,충청남도 태안군 안면읍 백사장1길 122,충청남도 태안군 안면읍 백사장1길 122,36.58561907,126.3155709,해양파출소 옆,안면119안전센터,N,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
"태안-안면-지상-29",1,충청남도,태안군,44825,충청남도 태안군 안면읍 삼봉길 195,충청남도 태안군 안면읍 삼봉길 195,36.57076051,126.3166941,앞 삼봉마트 버스정류장 옆,안면119안전센터,N,Y,2018,8,10,100,태안소방서,041-671-0252,2020-12-01
