"시설번호",시설유형코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,상세위치,안전센터명,보호틀유무,사용가능여부,설치연도,배관깊이,출수압력,배관지름,관할기관명,관할기관전화번호,데이터기준일자
"영운상1호",1,충청북도,청주시 상당구,43111,충청북도 청주시 상당구 상당로91번길 8-4,충청북도 청주시 상당구 북문로1가 1-1,36.636521,127.489884,유래일식 앞,영운119안전센터,Y,Y,2009,1,5,200,청주동부소방서,043-251-0132,2021-12-29
"영운상2호",1,충청북도,청주시 상당구,43111,충청북도 청주시 상당구 상당로81번길 1,충청북도 청주시 상당구 북문로1가17-7,36.635471,127.490283,도청서문 건너편,영운119안전센터,Y,Y,2009,1,5,200,청주동부소방서,043-251-0132,2021-12-29
"영운상3호",1,충청북도,청주시 상당구,43111,충청북도 청주시 상당구 상당로81번길 44-1,충청북도 청주시 상당구 북문로1가 154,36.63562876,127.487884,CGV북문점 맞은편 핸드폰가게,영운119안전센터,N,Y,2000,1,5,200,청주동부소방서,043-251-0132,2021-12-29
"영운상4호",1,충청북도,청주시 상당구,43111,충청북도 청주시 상당구 사직대로350번길 21,충청북도 청주시 상당구 서문동 6-8,36.635636,127.486517,홈플러스 옆,영운119안전센터,N,Y,2000,1,5,200,청주동부소방서,043-251-0132,2021-12-29
"영운상5호",1,충청북도,청주시 상당구,43111,충청북도 청주시 상당구 무심동로392번길 7-1,충청북도 청주시 상당구 서문동 159-50,36.6357188,127.485264,홈플러스 후문,영운119안전센터,Y,Y,2007,1,5,200,청주동부소방서,043-251-0132,2021-12-29
"영운상6호",1,충청북도,청주시 상당구,43111,충청북도 청주시 상당구 남사로83번길 44-1,충청북도 청주시 상당구 서문동 213-4,36.63389689,127.484763,서문시장 인근 산수다실 앞,영운119안전센터,N,Y,2000,1,5,200,청주동부소방서,043-251-0132,2021-12-29
"영운상7호",1,충청북도,청주시 상당구,43111,충청북도 청주시 상당구 상당로69번길 39,충청북도 청주시 상당구 북문로1가동 188,36.63402112,127.4879022,KT길건너 십자로,영운119안전센터,Y,Y,2000,1,3,200,청주동부소방서,043-251-0132,2021-12-29
"영운상8호",1,충청북도,청주시 상당구,43111,충청북도 청주시 상당구 상당로59번길 12-14,충청북도 청주시 상당구 북문로1가동 27-3,36.63424328,127.4899788,무크 앞,영운119안전센터,N,Y,2000,1,5,200,청주동부소방서,043-251-0132,2021-12-29
"영운상9호",1,충청북도,청주시 상당구,43111,충청북도 청주시 상당구 상당로67,충청북도 청주시 상당구 북문로1가동 38-3,36.634233,127.4904617,도청십자로 양지사진관 앞 인도,영운119안전센터,Y,Y,2000,1,2.5,200,청주동부소방서,043-251-0132,2021-12-29
"영운상10호",1,충청북도,청주시 상당구,43111,충청북도 청주시 상당구 남사로110,충청북도 청주시 상당구 남주동 1,36.63183901,127.487387,청주예술원 앞 인도,영운119안전센터,Y,Y,2000,1,3.5,200,청주동부소방서,043-251-0132,2021-12-29
