행정구역별,주택(사업용),공장(사업용),숙박시설(사업용),유흥업소(사업용),재래시장(사업용),학교(사업용),빌딩(사업용),관공소(사업용),군부대(사업용),종교시설(사업용),유통 및 판매시설(사업용),기타(사업용),주택(자가용),공장(자가용),숙박시설(자가용),유흥업소(자가용),재래시장(자가용),학교(자가용),빌딩(자가용),관공소(자가용),군부대(자가용),종교시설(자가용),유통 및 판매시설(자가용),기타(자가용),주택(일반용),공장(일반용),숙박시설(일반용),유흥업소(일반용),재래시장(일반용),학교(일반용),빌딩(일반용),관공소(일반용),군부대(일반용),종교시설(일반용),유통 및 판매시설(일반용),기타(일반용)
본사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
안전인증센터,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전기안전연구원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전기안전기술교육원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울지역본부,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,9,0,0,1,4,5,12,1,1,0,1,0,3,0,0,0,9,11
서울동부지사,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1,0,0,3,0,0,1,3,3,8,1,1,3,1,0,0,0,0,0,5,4
서울서부지사,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,5,0,0,0,0,3,12,3,2,1,0,0,0,0,0,0,0,3
서울남부지사,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,8,1,0,0,2,5,13,0,0,0,0,0,1,0,0,0,0,8
서울북부지사,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,1,3,0,0,0,3,2,10,2,1,0,0,0,0,0,0,0,0,7
부산울산지역본부,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,1,2,7,1,0,1,0,0,0,0,0,0,0,4
울산지사,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,2,8
부산동부지사,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,5
대구경북지역본부,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,1,1,4,0,0,0,0,0,0,2,15
경북북부지사,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,2
대구서부지사,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,1,1,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,2,2
경북중부지사,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,4
경북동부지사,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,3,5
경북서부지사,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,2,4
경주지사,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
인천지역본부,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,3,0,0,0,0,0,1,2,2,3,2,1,1,0,0,1,0,0,0,1,5
인천서부지사,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,1,0,0,0,0,0,1,4,3,1,0,0,0,0,0,0,0,0,3
부천김포지사,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,2,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,6
광주전남지역본부,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,1,0,2,0,0,0,0,0,2,9,1,0,1,0,0,0,0,0,0,1,16
전남동부지사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,4
전남남부지사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,3
전남서부지사,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2
여수지사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
대전충남세종지역본부,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,2,1,0,2,0,0,0,0,0,1,2,25
천안아산지사,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,2,2,0,1,0,0,0,0,0,0,2,7
충남남부지사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9
충남중부지사,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,1,0,3
서산태안지사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,3
충남서부지사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,1,0,0,0,0,0,0,2
경기지역본부,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,4,5,1,1,0,0,0,0,0,1,0,6
경기중부지사,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,1,0,1,5,6,1,0,0,0,0,0,0,0,0,1,2
안산시흥지사,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,0,4,1,0,1,0,0,1,0,0,0,0,2
경기서부지사,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,5
평택안성지사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,1,0,0,0,0,0,0,0,0,0,5
이천여주지사,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,4
용인지사,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
경기북부지역본부,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,3,1,0,0,0,2,9,2,0,1,0,0,1,0,0,1,2,6
파주고양지사,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,1,3,2,5,0,0,0,0,0,0,0,0,2,16
경기북동부지사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,2,1,0,0,0,0,0,0,0,4
강원지역본부,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,3,0,1,1,0,0,0,0,0,0,1,5
강원동부지사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,1,1
원주횡성지사,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,0,0,3
강원북부지사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3
강원남부지사,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1
충북지역본부,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,8
충주음성지사,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,7
제천단양지사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2
영동옥천지사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
전북지역본부,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,5,0,0,1,0,0,0,0,0,1,0,2
익산지사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2
전북서부지사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
군산지사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
