"시설번호",시설유형코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,상세위치,안전센터명,보호틀유무,사용가능여부,설치연도,배관깊이,출수압력,배관지름,관할기관명,관할기관전화번호,데이터기준일자
"상대-상-01",1,경상남도,진주시,48170,진주시 남강로 881번길 9,진주시 상대동 730-53,35.180839,128.101546,"구,법원뒷편 후문 80m",상대119안전센터,N,Y,1979,0.5,3.5,65,진주소방서,055-760-9296,2022-06-14
"상대-상-02",1,경상남도,진주시,48170,진주시 동진로 105,진주시 상대동 295-8,35.179397,128.102865,디럭스빌딩(한보프라자) 주차장 입구,상대119안전센터,Y,Y,1979,0.5,3.5,65,진주소방서,055-760-9296,2022-06-14
"상대-상-03",1,경상남도,진주시,48170,진주시 동진로 121,진주시 상대동 291-23,35.179447,128.104407,가나신협앞 인도상,상대119안전센터,Y,Y,1979,0.5,3.5,65,진주소방서,055-760-9296,2022-06-14
"상대-상-05",1,경상남도,진주시,48170,진주시 동진로 155,진주시 상대동 284,35.179702,128.107293,진주시청 남서편 인도상 (진주시청 사거리),상대119안전센터,Y,Y,1979,0.5,3.5,65,진주소방서,055-760-9296,2022-06-14
"상대-상-06",1,경상남도,진주시,48170,진주시 솔밭로 141,진주시 상대동 288-11,35.181777,128.106752,모란아파트 앞 인도상,상대119안전센터,Y,Y,1979,0.5,3.5,65,진주소방서,055-760-9296,2022-06-14
"상대-상-07",1,경상남도,진주시,48170,진주시 선학산길29번길 24-1,진주시 상대동 519-21,35.186641,128.109491,우성아트빌 60m 지점,상대119안전센터,Y,Y,1981,0.5,3.5,65,진주소방서,055-760-9296,2022-06-14
"상대-상-08",1,경상남도,진주시,48170,진주시 솔밭로 132번길 26,진주시 상대동 275-24,35.181012,128.109349,자유시장북편 사거리 매일수산 앞,상대119안전센터,Y,Y,2019,0.5,3.5,65,진주소방서,055-760-9296,2022-06-14
"상대-상-10",1,경상남도,진주시,48170,진주시 동진로 189,진주시 상대동 299-3,35.179787,128.112145,상대동 행정복지타운 앞 (사거리),상대119안전센터,Y,Y,1973,0.5,3.5,65,진주소방서,055-760-9296,2022-06-14
"상대-상-11",1,경상남도,진주시,48170,진주시 도동천로 117,진주시 상대동 246-4,35.181469,128.112177,진주동부농협 동명지점 앞 인도상,상대119안전센터,Y,Y,1979,0.5,3.5,65,진주소방서,055-760-9296,2022-06-14
"상대-상-13",1,경상남도,진주시,48170,진주시 돗골로 168,진주시 상대동 244-18,35.183356,128.112023,동명아파트 입구 사거리 도로상,상대119안전센터,Y,Y,1979,0.5,3.5,65,진주소방서,055-760-9296,2022-06-14
"상대-상-14",1,경상남도,진주시,48170,진주시 동진로 209,진주시 상대동 303-33,35.179879,128.113881,행복한 가게 앞 인도상,상대119안전센터,Y,Y,1994,0.5,3.5,65,진주소방서,055-760-9296,2022-06-14
"상대-상-15",1,경상남도,진주시,48170,진주시 동진로 217,진주시 상대동 309-28,35.180118,128.114982,디지털프라자 앞,상대119안전센터,Y,Y,1994,0.5,3.5,65,진주소방서,055-760-9296,2022-06-14
"상대-상-16",1,경상남도,진주시,48170,진주시 동진로 329,진주시 상대동 33-45,35.181469,128.127373,한국마그넷 동편 50m,상대119안전센터,Y,Y,1979,0.5,3.5,65,진주소방서,055-760-9296,2022-06-14
"상대-상-17",1,경상남도,진주시,48170,진주시 동진로 309,진주시 상대동 33-26,35.180511,128.124793,도남철강 동편 5m,상대119안전센터,Y,Y,1979,0.5,3.5,65,진주소방서,055-760-9296,2022-06-14
"상대-상-18",1,경상남도,진주시,48170,진주시 동진로 279,진주시 상대동 33-85,35.180389,128.122506,한국전력 진주영업소 동편 모서리 인도,상대119안전센터,Y,Y,1995,0.5,3.5,65,진주소방서,055-760-9296,2022-06-14
"상대-상-19",1,경상남도,진주시,48170,진주시 동진로 265,진주시 상대동 33-14,35.180272,128.120288,경남경찰청 제2기동중대 앞,상대119안전센터,Y,Y,1981,0.5,3.5,65,진주소방서,055-760-9296,2022-06-14
